 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, rowcost
F# lydian (6#), 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:0, 4:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:1:2, 3:1:0:0:2, 3:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:1, 1:0:1:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:1:1, 1:0:0:0:1,  , 2:0:0:0:1, 1:0:1:0:0, 3:0:1:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 5:0:0:1:2, 1:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:1:2:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:1:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:1:0:0, 3:0:1:0:0, 3:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:1:1:0:2, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:1:0:0, 2:0:0:1:1, 163:3:19:6:53
Gb mixolydian (6b), 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:1, 4:0:1:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:1:1, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 159:2:7:1:71
F# mixolydian (6#), 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:0, 4:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:1:2, 3:1:0:0:2, 3:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:1, 1:0:1:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:1:1, 1:0:0:0:1,  , 2:0:0:0:1, 1:0:1:0:0, 3:0:1:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 5:0:0:1:2, 1:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:1:2:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:1:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:1:0:0, 3:0:1:0:0, 3:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:1:1:0:2, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:1:0:0, 2:0:0:1:1, 163:3:19:6:53
Gb aeolian (6b), 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:1, 4:0:1:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:1:1, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 159:2:7:1:71
F# aeolian (6#), 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:0, 4:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:1:2, 3:1:0:0:2, 3:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:1, 1:0:1:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:1:1, 1:0:0:0:1,  , 2:0:0:0:1, 1:0:1:0:0, 3:0:1:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 5:0:0:1:2, 1:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:1:2:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:1:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:1:0:0, 3:0:1:0:0, 3:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:1:1:0:2, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:1:0:0, 2:0:0:1:1, 163:3:19:6:53
Gb locrian (6b), 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:1, 4:0:1:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 4:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:1:1, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 159:2:7:1:71
F# locrian (6#), 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 2:0:0:0:1, 5:0:0:1:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 3:0:1:0:0, 4:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:1:2, 3:1:0:0:2, 3:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:1, 1:0:1:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:1:1, 1:0:0:0:1,  , 2:0:0:0:1, 1:0:1:0:0, 3:0:1:0:0, 0:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:1:0:0, 1:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 5:0:0:1:2, 1:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 2:0:0:0:0, 2:1:2:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:1:0:0, 1:0:0:0:1, 1:0:1:0:0, 1:0:1:0:0, 3:0:1:0:0, 3:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:1:1:0:2, 1:0:1:0:0, 1:0:0:0:0, 1:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:1:0:0, 1:0:0:0:0, 3:0:0:0:1, 2:0:1:0:0, 2:0:0:1:1, 163:3:19:6:53
Cb major (7b), 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 3:1:1:0:3, 3:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1,  , 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 4:0:0:0:3, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:1:1:0:1, 0:0:0:0:0, 4:0:0:0:3, 1:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:1:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:1:1:0:2, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 4:0:0:0:2, 1:0:0:0:1, 1:1:1:0:1, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 176:7:7:1:117
C# major (7#), 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:1:1:0:1, 2:0:0:1:0, 3:0:0:1:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:1:1:0:1,  , 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:1:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:0, 1:1:1:0:1, 3:0:0:0:0, 1:1:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 4:0:0:1:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:1:0, 130:13:13:7:39
Ab minor (7b), 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 3:1:1:0:3, 3:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1,  , 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 4:0:0:0:3, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:1:1:0:1, 0:0:0:0:0, 4:0:0:0:3, 1:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:1:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:1:1:0:2, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 4:0:0:0:2, 1:0:0:0:1, 1:1:1:0:1, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 176:7:7:1:117
A# minor (7#), 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 2:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:1:1:0:1, 2:0:0:1:0, 3:0:0:1:1, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 1:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 5:0:0:1:0, 1:1:1:0:1,  , 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 1:1:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:0, 1:1:1:0:1, 3:0:0:0:0, 1:1:1:0:1, 1:0:0:0:0, 1:0:0:0:0, 4:0:0:1:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:1:0, 130:13:13:7:39
Ab minor mel (7b), 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 2:0:0:0:1, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 5:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 3:1:1:0:3, 3:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1,  , 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 4:0:0:0:3, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:1:1:0:1, 0:0:0:0:0, 4:0:0:0:3, 1:0:0:0:1, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:1:0, 1:1:1:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 1:0:0:0:0, 2:1:1:0:2, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:1, 0:0:0:0:0, 3:0:0:0:2, 4:0:0:0:2, 1:0:0:0:1, 1:1:1:0:1, 2:0:0:0:2, 3:0:0:0:2, 1:0:0:0:1, 176:7:7:1:117
